Vendedor	Produto	Estado	Mês	Cliente	Valor	Quantidade
PRISCILA	Rodas aro 21"	AP	Dezembro	Pessoa Física	3200	6
MIRIAN	Rodas aro 22"	SE	Junho	Pessoa Física	3921	3
MURILO	Rodas aro 13"	MA	Novembro	Pessoa Física	780	3
ROBERTO	Rodas aro 14"	RR	Maio	Pessoa Jurídica	980	3
MYSLAINE	Rodas aro 15"	AM	Dezembro	Pessoa Jurídica	1020	1
KATIA	Rodas aro 16"	RN	Fevereiro	Pessoa Jurídica	1340	110
VANESSA	Rodas aro 17"	MT	Abril	Pessoa Física	1870	110
RENATA	Rodas aro 18"	SC	Dezembro	Pessoa Jurídica	1910	109
CAIO	Rodas aro 19"	SE	Abril	Pessoa Física	2240	105
PRISCILA	Rodas aro 20"	PA	Agosto	Pessoa Física	2479	104
MIRIAN	Rodas aro 21"	MT	Novembro	Pessoa Física	3200	104
MURILO	Rodas aro 22"	SP	Dezembro	Pessoa Jurídica	3921	103
ROBERTO	Rodas aro 13"	PB	Janeiro	Pessoa Jurídica	780	102
MYSLAINE	Rodas aro 14"	PB	Outubro	Pessoa Jurídica	980	102
KATIA	Rodas aro 15"	MT	Março	Pessoa Física	1020	101
VANESSA	Rodas aro 16"	GO	Outubro	Pessoa Jurídica	1340	101
RENATA	Rodas aro 17"	ES	Julho	Pessoa Física	1870	98
CAIO	Rodas aro 18"	AM	Fevereiro	Pessoa Física	1910	98
PRISCILA	Rodas aro 19"	SE	Janeiro	Pessoa Física	2240	96
MIRIAN	Rodas aro 20"	AP	Abril	Pessoa Jurídica	2479	96
MURILO	Rodas aro 21"	PB	Julho	Pessoa Jurídica	3200	95
ROBERTO	Rodas aro 22"	RO	Março	Pessoa Jurídica	3921	93
MYSLAINE	Rodas aro 13"	GO	Fevereiro	Pessoa Física	780	92
KATIA	Rodas aro 14"	MS	Outubro	Pessoa Jurídica	980	92
VANESSA	Rodas aro 15"	AP	Novembro	Pessoa Física	1020	92
RENATA	Rodas aro 16"	BA	Fevereiro	Pessoa Física	1340	88
CAIO	Rodas aro 17"	PI	Janeiro	Pessoa Física	1870	88
PRISCILA	Rodas aro 18"	PB	Janeiro	Pessoa Jurídica	1910	86
MIRIAN	Rodas aro 19"	PR	Junho	Pessoa Jurídica	2240	85
MURILO	Rodas aro 20"	PA	Setembro	Pessoa Jurídica	2479	83
ROBERTO	Rodas aro 21"	AP	Julho	Pessoa Física	3200	83
MYSLAINE	Rodas aro 22"	BA	Junho	Pessoa Jurídica	3921	82
KATIA	Rodas aro 13"	RR	Junho	Pessoa Física	780	80
VANESSA	Rodas aro 14"	SE	Junho	Pessoa Física	980	80
RENATA	Rodas aro 15"	AC	Junho	Pessoa Física	1020	77
CAIO	Rodas aro 16"	MT	Junho	Pessoa Jurídica	1340	76
PRISCILA	Rodas aro 17"	TO	Outubro	Pessoa Jurídica	1870	75
MIRIAN	Rodas aro 18"	MS	Agosto	Pessoa Jurídica	1910	74
MURILO	Rodas aro 19"	RS	Fevereiro	Pessoa Física	2240	74
ROBERTO	Rodas aro 20"	AP	Janeiro	Pessoa Jurídica	2479	73
MYSLAINE	Rodas aro 21"	TO	Fevereiro	Pessoa Física	3200	73
KATIA	Rodas aro 22"	PB	Agosto	Pessoa Física	3921	73
VANESSA	Rodas aro 13"	PI	Maio	Pessoa Física	780	73
RENATA	Rodas aro 14"	AP	Março	Pessoa Jurídica	980	73
CAIO	Rodas aro 15"	SC	Abril	Pessoa Jurídica	1020	72
PRISCILA	Rodas aro 16"	GO	Novembro	Pessoa Jurídica	1340	72
MIRIAN	Rodas aro 17"	AM	Julho	Pessoa Física	1870	70
MURILO	Rodas aro 18"	AL	Outubro	Pessoa Jurídica	1910	68
ROBERTO	Rodas aro 19"	DF	Abril	Pessoa Física	2240	68
MYSLAINE	Rodas aro 20"	PR	Setembro	Pessoa Física	2479	68
KATIA	Rodas aro 21"	TO	Setembro	Pessoa Física	3200	67
VANESSA	Rodas aro 22"	AL	Outubro	Pessoa Jurídica	3921	66
RENATA	Rodas aro 13"	PA	Dezembro	Pessoa Jurídica	780	66
CAIO	Rodas aro 14"	PI	Novembro	Pessoa Jurídica	980	65
PRISCILA	Rodas aro 15"	CE	Março	Pessoa Física	1020	64
MIRIAN	Rodas aro 16"	SC	Agosto	Pessoa Jurídica	1340	59
MURILO	Rodas aro 17"	RJ	Janeiro	Pessoa Física	1870	57
ROBERTO	Rodas aro 18"	RO	Julho	Pessoa Física	1910	55
MYSLAINE	Rodas aro 19"	DF	Novembro	Pessoa Física	2240	55
KATIA	Rodas aro 20"	AC	Setembro	Pessoa Jurídica	2479	53
VANESSA	Rodas aro 21"	PA	Setembro	Pessoa Jurídica	3200	53
RENATA	Rodas aro 22"	PA	Janeiro	Pessoa Jurídica	3921	51
CAIO	Rodas aro 13"	RN	Agosto	Pessoa Física	780	50
PRISCILA	Rodas aro 14"	AL	Novembro	Pessoa Jurídica	980	50
MIRIAN	Rodas aro 15"	CE	Fevereiro	Pessoa Física	1020	46
MURILO	Rodas aro 16"	PB	Abril	Pessoa Física	1340	45
ROBERTO	Rodas aro 17"	AM	Março	Pessoa Física	1870	42
MYSLAINE	Rodas aro 18"	AM	Janeiro	Pessoa Jurídica	1910	41
KATIA	Rodas aro 19"	MT	Abril	Pessoa Jurídica	2240	41
VANESSA	Rodas aro 20"	RR	Março	Pessoa Jurídica	2479	40
RENATA	Rodas aro 21"	RJ	Abril	Pessoa Física	3200	37
CAIO	Rodas aro 22"	SE	Agosto	Pessoa Jurídica	3921	35
PRISCILA	Rodas aro 13"	MG	Novembro	Pessoa Física	780	29
MIRIAN	Rodas aro 14"	SC	Junho	Pessoa Física	980	28
MURILO	Rodas aro 15"	TO	Abril	Pessoa Física	1020	27
ROBERTO	Rodas aro 16"	AL	Julho	Pessoa Jurídica	1340	27
MYSLAINE	Rodas aro 17"	PE	Abril	Pessoa Jurídica	1870	26
KATIA	Rodas aro 18"	PE	Outubro	Pessoa Jurídica	1910	26
VANESSA	Rodas aro 19"	MA	Julho	Pessoa Física	2240	25
RENATA	Rodas aro 20"	PI	Fevereiro	Pessoa Jurídica	2479	24
CAIO	Rodas aro 21"	RS	Março	Pessoa Física	3200	23
PRISCILA	Rodas aro 22"	BA	Maio	Pessoa Física	3921	23
MIRIAN	Rodas aro 13"	MG	Julho	Pessoa Física	780	23
MURILO	Rodas aro 14"	PR	Fevereiro	Pessoa Jurídica	980	19
ROBERTO	Rodas aro 15"	PR	Outubro	Pessoa Jurídica	1020	18
MYSLAINE	Rodas aro 16"	SC	Abril	Pessoa Jurídica	1340	18
KATIA	Rodas aro 17"	AP	Maio	Pessoa Física	1870	17
VANESSA	Rodas aro 18"	AC	Julho	Pessoa Jurídica	1910	17
RENATA	Rodas aro 19"	MG	Novembro	Pessoa Física	2240	16
CAIO	Rodas aro 20"	ES	Junho	Pessoa Física	2479	13
PRISCILA	Rodas aro 21"	RJ	Janeiro	Pessoa Física	3200	12
MIRIAN	Rodas aro 22"	MT	Janeiro	Pessoa Jurídica	3921	8
MURILO	Rodas aro 13"	AC	Junho	Pessoa Jurídica	780	8
ROBERTO	Rodas aro 14"	TO	Março	Pessoa Jurídica	980	7
MYSLAINE	Rodas aro 15"	PB	Maio	Pessoa Física	1020	7
KATIA	Rodas aro 16"	MT	Outubro	Pessoa Jurídica	1340	7
VANESSA	Rodas aro 17"	MA	Setembro	Pessoa Física	1870	6
RENATA	Rodas aro 18"	SP	Dezembro	Pessoa Física	1910	6
CAIO	Rodas aro 19"	RS	Dezembro	Pessoa Física	2240	4
PRISCILA	Rodas aro 20"	TO	Abril	Pessoa Jurídica	2479	4
MIRIAN	Rodas aro 21"	PA	Dezembro	Pessoa Jurídica	3200	3
MURILO	Rodas aro 22"	SP	Agosto	Pessoa Jurídica	3921	1
ROBERTO	Rodas aro 13"	ES	Abril	Pessoa Física	780	110
MYSLAINE	Rodas aro 14"	PA	Janeiro	Pessoa Jurídica	980	68
KATIA	Rodas aro 15"	AL	Setembro	Pessoa Física	1020	68
VANESSA	Rodas aro 16"	PE	Setembro	Pessoa Física	1340	65
RENATA	Rodas aro 17"	PI	Junho	Pessoa Física	1870	60
CAIO	Rodas aro 18"	RS	Abril	Pessoa Jurídica	1910	60
PRISCILA	Rodas aro 19"	SP	Outubro	Pessoa Jurídica	2240	58
MIRIAN	Rodas aro 20"	BA	Setembro	Pessoa Jurídica	2479	58
MURILO	Rodas aro 21"	RS	Maio	Pessoa Física	3200	54
ROBERTO	Rodas aro 22"	SE	Janeiro	Pessoa Jurídica	3921	54
MYSLAINE	Rodas aro 13"	RN	Dezembro	Pessoa Física	780	54
KATIA	Rodas aro 14"	AM	Janeiro	Pessoa Física	980	54
VANESSA	Rodas aro 15"	PI	Agosto	Pessoa Física	1020	50
RENATA	Rodas aro 16"	SC	Julho	Pessoa Jurídica	1340	50
CAIO	Rodas aro 17"	SE	Dezembro	Pessoa Jurídica	1870	49
PRISCILA	Rodas aro 18"	MS	Dezembro	Pessoa Jurídica	1910	49
MIRIAN	Rodas aro 19"	MS	Junho	Pessoa Física	2240	47
MURILO	Rodas aro 20"	PB	Maio	Pessoa Jurídica	2479	46
ROBERTO	Rodas aro 21"	BA	Julho	Pessoa Física	3200	46
MYSLAINE	Rodas aro 22"	ES	Julho	Pessoa Física	3921	44
KATIA	Rodas aro 13"	RO	Janeiro	Pessoa Física	780	43
VANESSA	Rodas aro 14"	AP	Fevereiro	Pessoa Jurídica	980	43
RENATA	Rodas aro 15"	PI	Janeiro	Pessoa Jurídica	1020	39
CAIO	Rodas aro 16"	DF	Outubro	Pessoa Jurídica	1340	38
PRISCILA	Rodas aro 17"	CE	Maio	Pessoa Física	1870	38
MIRIAN	Rodas aro 18"	PE	Junho	Pessoa Jurídica	1910	38
MURILO	Rodas aro 19"	PI	Novembro	Pessoa Física	2240	37
ROBERTO	Rodas aro 20"	MT	Janeiro	Pessoa Física	2479	36
MYSLAINE	Rodas aro 21"	RJ	Setembro	Pessoa Física	3200	34
KATIA	Rodas aro 22"	PB	Março	Pessoa Jurídica	3921	34
VANESSA	Rodas aro 13"	DF	Abril	Pessoa Jurídica	780	33
RENATA	Rodas aro 14"	PR	Dezembro	Pessoa Jurídica	980	33
CAIO	Rodas aro 15"	TO	Novembro	Pessoa Física	1020	30
PRISCILA	Rodas aro 16"	BA	Novembro	Pessoa Jurídica	1340	29
MIRIAN	Rodas aro 17"	BA	Julho	Pessoa Física	1870	25
MURILO	Rodas aro 18"	PI	Junho	Pessoa Física	1910	25
ROBERTO	Rodas aro 19"	RO	Novembro	Pessoa Física	2240	25
MYSLAINE	Rodas aro 20"	AC	Janeiro	Pessoa Jurídica	2479	24
KATIA	Rodas aro 21"	RN	Agosto	Pessoa Jurídica	3200	21
VANESSA	Rodas aro 22"	MA	Fevereiro	Pessoa Jurídica	3921	21
RENATA	Rodas aro 13"	SE	Julho	Pessoa Física	780	20
CAIO	Rodas aro 14"	MA	Setembro	Pessoa Jurídica	980	19
PRISCILA	Rodas aro 15"	MA	Julho	Pessoa Física	1020	18
MIRIAN	Rodas aro 16"	BA	Outubro	Pessoa Física	1340	18
MURILO	Rodas aro 17"	TO	Novembro	Pessoa Física	1870	18
ROBERTO	Rodas aro 18"	PI	Março	Pessoa Jurídica	1910	17
MYSLAINE	Rodas aro 19"	AL	Setembro	Pessoa Jurídica	2240	16
KATIA	Rodas aro 20"	MT	Maio	Pessoa Jurídica	2479	12
VANESSA	Rodas aro 21"	RJ	Outubro	Pessoa Física	3200	10
RENATA	Rodas aro 22"	AP	Outubro	Pessoa Jurídica	3921	10
CAIO	Rodas aro 13"	RR	Junho	Pessoa Física	780	10
PRISCILA	Rodas aro 14"	MG	Janeiro	Pessoa Física	980	8
MIRIAN	Rodas aro 15"	RS	Outubro	Pessoa Física	1020	7
MURILO	Rodas aro 16"	ES	Outubro	Pessoa Jurídica	1340	6
ROBERTO	Rodas aro 17"	AC	Outubro	Pessoa Jurídica	1870	5
MYSLAINE	Rodas aro 18"	PR	Novembro	Pessoa Jurídica	1910	4
KATIA	Rodas aro 19"	RO	Março	Pessoa Física	2240	3
VANESSA	Rodas aro 20"	RJ	Abril	Pessoa Jurídica	2479	3
RENATA	Rodas aro 21"	GO	Maio	Pessoa Física	3200	1
CAIO	Rodas aro 22"	PA	Dezembro	Pessoa Física	3921	109
PRISCILA	Rodas aro 13"	MT	Abril	Pessoa Física	780	108
MIRIAN	Rodas aro 14"	GO	Outubro	Pessoa Jurídica	980	107
MURILO	Rodas aro 15"	MG	Junho	Pessoa Jurídica	1020	106
ROBERTO	Rodas aro 16"	MS	Maio	Pessoa Jurídica	1340	105
MYSLAINE	Rodas aro 17"	PB	Agosto	Pessoa Física	1870	105
KATIA	Rodas aro 18"	MG	Abril	Pessoa Jurídica	1910	103
VANESSA	Rodas aro 19"	MA	Maio	Pessoa Física	2240	102
RENATA	Rodas aro 20"	GO	Março	Pessoa Física	2479	101
CAIO	Rodas aro 21"	RJ	Maio	Pessoa Física	3200	101
PRISCILA	Rodas aro 22"	CE	Dezembro	Pessoa Jurídica	3921	100
MIRIAN	Rodas aro 13"	MG	Maio	Pessoa Jurídica	780	98
MURILO	Rodas aro 14"	PE	Abril	Pessoa Jurídica	980	97
ROBERTO	Rodas aro 15"	RN	Junho	Pessoa Física	1020	96
MYSLAINE	Rodas aro 16"	MS	Setembro	Pessoa Jurídica	1340	94
KATIA	Rodas aro 17"	AP	Abril	Pessoa Física	1870	92
VANESSA	Rodas aro 18"	PR	Novembro	Pessoa Física	1910	91
RENATA	Rodas aro 19"	PA	Julho	Pessoa Física	2240	91
CAIO	Rodas aro 20"	RN	Novembro	Pessoa Jurídica	2479	87
PRISCILA	Rodas aro 21"	CE	Setembro	Pessoa Jurídica	3200	86
MIRIAN	Rodas aro 22"	AP	Novembro	Pessoa Jurídica	3921	84
MURILO	Rodas aro 13"	RS	Julho	Pessoa Física	780	83
ROBERTO	Rodas aro 14"	PB	Dezembro	Pessoa Jurídica	980	83
MYSLAINE	Rodas aro 15"	PE	Agosto	Pessoa Física	1020	83
KATIA	Rodas aro 16"	SP	Março	Pessoa Física	1340	82
VANESSA	Rodas aro 17"	PI	Março	Pessoa Física	1870	82
RENATA	Rodas aro 18"	DF	Dezembro	Pessoa Jurídica	1910	81
CAIO	Rodas aro 19"	SE	Abril	Pessoa Jurídica	2240	81
PRISCILA	Rodas aro 20"	ES	Agosto	Pessoa Jurídica	2479	81
MIRIAN	Rodas aro 21"	SP	Janeiro	Pessoa Física	3200	81
MURILO	Rodas aro 22"	RJ	Setembro	Pessoa Jurídica	3921	79
ROBERTO	Rodas aro 13"	TO	Novembro	Pessoa Física	780	73
MYSLAINE	Rodas aro 14"	SC	Setembro	Pessoa Física	980	72
KATIA	Rodas aro 15"	PI	Novembro	Pessoa Física	1020	71
VANESSA	Rodas aro 16"	PE	Dezembro	Pessoa Jurídica	1340	70
RENATA	Rodas aro 17"	BA	Dezembro	Pessoa Jurídica	1870	69
CAIO	Rodas aro 18"	AC	Setembro	Pessoa Jurídica	1910	68
PRISCILA	Rodas aro 19"	PA	Agosto	Pessoa Física	2240	68
MIRIAN	Rodas aro 20"	SC	Março	Pessoa Jurídica	2479	68
MURILO	Rodas aro 21"	RJ	Agosto	Pessoa Física	3200	67
ROBERTO	Rodas aro 22"	PA	Setembro	Pessoa Física	3921	65
MYSLAINE	Rodas aro 13"	RO	Julho	Pessoa Física	780	65
KATIA	Rodas aro 14"	PI	Fevereiro	Pessoa Jurídica	980	65
VANESSA	Rodas aro 15"	RO	Novembro	Pessoa Jurídica	1020	64
RENATA	Rodas aro 16"	BA	Março	Pessoa Jurídica	1340	63
CAIO	Rodas aro 17"	MA	Setembro	Pessoa Física	1870	62
PRISCILA	Rodas aro 18"	SE	Outubro	Pessoa Jurídica	1910	61
MIRIAN	Rodas aro 19"	SP	Julho	Pessoa Física	2240	58
MURILO	Rodas aro 20"	TO	Agosto	Pessoa Física	2479	58
ROBERTO	Rodas aro 21"	ES	Dezembro	Pessoa Física	3200	56
MYSLAINE	Rodas aro 22"	BA	Setembro	Pessoa Jurídica	3921	55
KATIA	Rodas aro 13"	MT	Junho	Pessoa Jurídica	780	54
VANESSA	Rodas aro 14"	AM	Novembro	Pessoa Jurídica	980	53
RENATA	Rodas aro 15"	RS	Agosto	Pessoa Física	1020	52
CAIO	Rodas aro 16"	PA	Janeiro	Pessoa Jurídica	1340	51
PRISCILA	Rodas aro 17"	PA	Maio	Pessoa Física	1870	51
MIRIAN	Rodas aro 18"	MT	Fevereiro	Pessoa Física	1910	50
MURILO	Rodas aro 19"	RJ	Dezembro	Pessoa Física	2240	44
ROBERTO	Rodas aro 20"	PA	Fevereiro	Pessoa Jurídica	2479	40
MYSLAINE	Rodas aro 21"	GO	Novembro	Pessoa Jurídica	3200	37
KATIA	Rodas aro 22"	RJ	Dezembro	Pessoa Jurídica	3921	35
VANESSA	Rodas aro 13"	ES	Fevereiro	Pessoa Física	780	34
RENATA	Rodas aro 14"	RO	Setembro	Pessoa Jurídica	980	32
CAIO	Rodas aro 15"	DF	Julho	Pessoa Física	1020	32
PRISCILA	Rodas aro 16"	RS	Outubro	Pessoa Física	1340	30
MIRIAN	Rodas aro 17"	AP	Setembro	Pessoa Física	1870	30
MURILO	Rodas aro 18"	PE	Junho	Pessoa Jurídica	1910	30
ROBERTO	Rodas aro 19"	SE	Julho	Pessoa Jurídica	2240	29
MYSLAINE	Rodas aro 20"	PA	Agosto	Pessoa Jurídica	2479	28
KATIA	Rodas aro 21"	PR	Agosto	Pessoa Física	3200	26
VANESSA	Rodas aro 22"	CE	Outubro	Pessoa Jurídica	3921	24
RENATA	Rodas aro 13"	MS	Dezembro	Pessoa Física	780	24
CAIO	Rodas aro 14"	RO	Agosto	Pessoa Física	980	23
PRISCILA	Rodas aro 15"	RJ	Dezembro	Pessoa Física	1020	22
MIRIAN	Rodas aro 16"	RO	Fevereiro	Pessoa Jurídica	1340	20
MURILO	Rodas aro 17"	MS	Fevereiro	Pessoa Jurídica	1870	18
ROBERTO	Rodas aro 18"	MA	Julho	Pessoa Jurídica	1910	18
MYSLAINE	Rodas aro 19"	PA	Dezembro	Pessoa Física	2240	17
KATIA	Rodas aro 20"	PR	Outubro	Pessoa Jurídica	2479	17
VANESSA	Rodas aro 21"	MT	Outubro	Pessoa Física	3200	16
RENATA	Rodas aro 22"	TO	Maio	Pessoa Física	3921	15
CAIO	Rodas aro 13"	AP	Agosto	Pessoa Física	780	14
PRISCILA	Rodas aro 14"	SE	Janeiro	Pessoa Jurídica	980	12
MIRIAN	Rodas aro 15"	SE	Março	Pessoa Jurídica	1020	10
MURILO	Rodas aro 16"	PI	Dezembro	Pessoa Jurídica	1340	10
ROBERTO	Rodas aro 17"	MS	Julho	Pessoa Física	1870	9
MYSLAINE	Rodas aro 18"	AP	Dezembro	Pessoa Jurídica	1910	9
KATIA	Rodas aro 19"	RO	Junho	Pessoa Física	2240	8
VANESSA	Rodas aro 20"	MG	Janeiro	Pessoa Física	2479	8
RENATA	Rodas aro 21"	AP	Abril	Pessoa Física	3200	8
CAIO	Rodas aro 22"	PI	Junho	Pessoa Jurídica	3921	7
PRISCILA	Rodas aro 13"	PE	Maio	Pessoa Jurídica	780	4
MIRIAN	Rodas aro 14"	MA	Março	Pessoa Jurídica	980	1
MURILO	Rodas aro 15"	RR	Janeiro	Pessoa Física	1020	108
ROBERTO	Rodas aro 16"	DF	Maio	Pessoa Jurídica	1340	106
MYSLAINE	Rodas aro 17"	PE	Abril	Pessoa Física	1870	105
KATIA	Rodas aro 18"	MS	Dezembro	Pessoa Física	1910	105
VANESSA	Rodas aro 19"	PA	Agosto	Pessoa Física	2240	104
RENATA	Rodas aro 20"	PE	Março	Pessoa Jurídica	2479	102
CAIO	Rodas aro 21"	RS	Agosto	Pessoa Jurídica	3200	99
PRISCILA	Rodas aro 22"	SC	Julho	Pessoa Jurídica	3921	98
MIRIAN	Rodas aro 13"	PR	Abril	Pessoa Física	780	94
MURILO	Rodas aro 14"	AL	Novembro	Pessoa Jurídica	980	92
ROBERTO	Rodas aro 15"	RN	Novembro	Pessoa Física	1020	91
MYSLAINE	Rodas aro 16"	RO	Maio	Pessoa Física	1340	91
KATIA	Rodas aro 17"	GO	Outubro	Pessoa Física	1870	90
VANESSA	Rodas aro 18"	RJ	Agosto	Pessoa Jurídica	1910	89
RENATA	Rodas aro 19"	BA	Agosto	Pessoa Jurídica	2240	88
CAIO	Rodas aro 20"	RJ	Junho	Pessoa Jurídica	2479	88
PRISCILA	Rodas aro 21"	PA	Novembro	Pessoa Física	3200	88
MIRIAN	Rodas aro 22"	DF	Outubro	Pessoa Jurídica	3921	87
MURILO	Rodas aro 13"	TO	Outubro	Pessoa Física	780	85
ROBERTO	Rodas aro 14"	ES	Junho	Pessoa Física	980	85
MYSLAINE	Rodas aro 15"	PI	Janeiro	Pessoa Física	1020	84
KATIA	Rodas aro 16"	BA	Março	Pessoa Jurídica	1340	84
VANESSA	Rodas aro 17"	PA	Maio	Pessoa Jurídica	1870	83
RENATA	Rodas aro 18"	PB	Outubro	Pessoa Jurídica	1910	83
CAIO	Rodas aro 19"	ES	Junho	Pessoa Física	2240	82
PRISCILA	Rodas aro 20"	RJ	Junho	Pessoa Jurídica	2479	80
MIRIAN	Rodas aro 21"	PE	Maio	Pessoa Física	3200	79
MURILO	Rodas aro 22"	RJ	Agosto	Pessoa Física	3921	78
ROBERTO	Rodas aro 13"	PE	Dezembro	Pessoa Física	780	78
MYSLAINE	Rodas aro 14"	ES	Setembro	Pessoa Jurídica	980	76
KATIA	Rodas aro 15"	AL	Abril	Pessoa Jurídica	1020	76
VANESSA	Rodas aro 16"	SP	Fevereiro	Pessoa Jurídica	1340	74
RENATA	Rodas aro 17"	CE	Novembro	Pessoa Física	1870	74
CAIO	Rodas aro 18"	PE	Abril	Pessoa Jurídica	1910	74
PRISCILA	Rodas aro 19"	PA	Julho	Pessoa Física	2240	71
MIRIAN	Rodas aro 20"	SE	Novembro	Pessoa Física	2479	70
MURILO	Rodas aro 21"	RR	Fevereiro	Pessoa Física	3200	67
ROBERTO	Rodas aro 22"	MG	Novembro	Pessoa Jurídica	3921	67
MYSLAINE	Rodas aro 13"	MT	Outubro	Pessoa Jurídica	780	65
KATIA	Rodas aro 14"	BA	Abril	Pessoa Jurídica	980	65
VANESSA	Rodas aro 15"	SC	Agosto	Pessoa Física	1020	64
RENATA	Rodas aro 16"	PI	Fevereiro	Pessoa Jurídica	1340	64
CAIO	Rodas aro 17"	TO	Abril	Pessoa Física	1870	60
PRISCILA	Rodas aro 18"	RR	Maio	Pessoa Física	1910	59
MIRIAN	Rodas aro 19"	RJ	Setembro	Pessoa Física	2240	59
MURILO	Rodas aro 20"	AC	Outubro	Pessoa Jurídica	2479	59
ROBERTO	Rodas aro 21"	MG	Janeiro	Pessoa Jurídica	3200	56
MYSLAINE	Rodas aro 22"	ES	Junho	Pessoa Jurídica	3921	56
KATIA	Rodas aro 13"	MA	Janeiro	Pessoa Física	780	56
VANESSA	Rodas aro 14"	RR	Junho	Pessoa Jurídica	980	55
RENATA	Rodas aro 15"	PI	Agosto	Pessoa Física	1020	53
CAIO	Rodas aro 16"	PA	Fevereiro	Pessoa Física	1340	53
PRISCILA	Rodas aro 17"	RJ	Setembro	Pessoa Física	1870	52
MIRIAN	Rodas aro 18"	BA	Novembro	Pessoa Jurídica	1910	52
MURILO	Rodas aro 19"	MG	Junho	Pessoa Jurídica	2240	51
ROBERTO	Rodas aro 20"	AC	Setembro	Pessoa Jurídica	2479	51
MYSLAINE	Rodas aro 21"	CE	Dezembro	Pessoa Física	3200	48
KATIA	Rodas aro 22"	SP	Março	Pessoa Jurídica	3921	48
VANESSA	Rodas aro 13"	RR	Junho	Pessoa Física	780	47
RENATA	Rodas aro 14"	PA	Agosto	Pessoa Física	980	45
CAIO	Rodas aro 15"	AP	Novembro	Pessoa Física	1020	45
PRISCILA	Rodas aro 16"	MG	Agosto	Pessoa Jurídica	1340	41
MIRIAN	Rodas aro 17"	PR	Julho	Pessoa Jurídica	1870	40
MURILO	Rodas aro 18"	RS	Outubro	Pessoa Jurídica	1910	40
ROBERTO	Rodas aro 19"	RS	Fevereiro	Pessoa Física	2240	38
MYSLAINE	Rodas aro 20"	RR	Novembro	Pessoa Jurídica	2479	36
KATIA	Rodas aro 21"	SE	Março	Pessoa Física	3200	32
VANESSA	Rodas aro 22"	RO	Dezembro	Pessoa Física	3921	32
RENATA	Rodas aro 13"	PB	Maio	Pessoa Física	780	31
CAIO	Rodas aro 14"	MG	Dezembro	Pessoa Jurídica	980	29
PRISCILA	Rodas aro 15"	MG	Setembro	Pessoa Jurídica	1020	29
MIRIAN	Rodas aro 16"	SC	Maio	Pessoa Jurídica	1340	27
MURILO	Rodas aro 17"	DF	Março	Pessoa Física	1870	26
ROBERTO	Rodas aro 18"	RS	Novembro	Pessoa Jurídica	1910	22
MYSLAINE	Rodas aro 19"	RR	Abril	Pessoa Física	2240	21
KATIA	Rodas aro 20"	ES	Junho	Pessoa Física	2479	20
VANESSA	Rodas aro 21"	GO	Fevereiro	Pessoa Física	3200	20
RENATA	Rodas aro 22"	BA	Junho	Pessoa Jurídica	3921	19
CAIO	Rodas aro 13"	RS	Abril	Pessoa Jurídica	780	18
PRISCILA	Rodas aro 14"	PR	Novembro	Pessoa Jurídica	980	17
MIRIAN	Rodas aro 15"	SE	Setembro	Pessoa Física	1020	14
MURILO	Rodas aro 16"	RN	Setembro	Pessoa Jurídica	1340	13
ROBERTO	Rodas aro 17"	PR	Maio	Pessoa Física	1870	12
MYSLAINE	Rodas aro 18"	CE	Setembro	Pessoa Física	1910	11
KATIA	Rodas aro 19"	PR	Maio	Pessoa Física	2240	10
VANESSA	Rodas aro 20"	AM	Maio	Pessoa Jurídica	2479	10
RENATA	Rodas aro 21"	RS	Agosto	Pessoa Jurídica	3200	7
CAIO	Rodas aro 22"	RR	Julho	Pessoa Jurídica	3921	6
PRISCILA	Rodas aro 13"	DF	Março	Pessoa Física	780	4
MIRIAN	Rodas aro 14"	RO	Maio	Pessoa Jurídica	980	4
MURILO	Rodas aro 15"	MT	Maio	Pessoa Física	1020	4
ROBERTO	Rodas aro 16"	MG	Outubro	Pessoa Física	1340	4
MYSLAINE	Rodas aro 17"	RJ	Outubro	Pessoa Física	1870	110
KATIA	Rodas aro 18"	RR	Julho	Pessoa Jurídica	1910	110
VANESSA	Rodas aro 19"	MA	Março	Pessoa Jurídica	2240	106
RENATA	Rodas aro 20"	MT	Abril	Pessoa Jurídica	2479	106
CAIO	Rodas aro 21"	TO	Abril	Pessoa Física	3200	105
PRISCILA	Rodas aro 22"	PI	Junho	Pessoa Jurídica	3921	105
MIRIAN	Rodas aro 13"	DF	Agosto	Pessoa Física	780	104
MURILO	Rodas aro 14"	SE	Julho	Pessoa Física	980	101
ROBERTO	Rodas aro 15"	PE	Abril	Pessoa Física	1020	101
MYSLAINE	Rodas aro 16"	PR	Outubro	Pessoa Jurídica	1340	100
KATIA	Rodas aro 17"	PA	Janeiro	Pessoa Jurídica	1870	100
VANESSA	Rodas aro 18"	RO	Fevereiro	Pessoa Jurídica	1910	99
RENATA	Rodas aro 19"	AC	Fevereiro	Pessoa Física	2240	97
CAIO	Rodas aro 20"	RJ	Abril	Pessoa Jurídica	2479	96
PRISCILA	Rodas aro 21"	TO	Março	Pessoa Física	3200	96
MIRIAN	Rodas aro 22"	PE	Agosto	Pessoa Física	3921	95
MURILO	Rodas aro 13"	PB	Julho	Pessoa Física	780	94
ROBERTO	Rodas aro 14"	DF	Março	Pessoa Jurídica	980	92
